filename,width,height,class,xmin,ymin,xmax,ymax
297.png,1280,720,basket,174,270,602,720
297.png,1280,720,player,418,14,1280,568
298.png,640,916,b_ball,248,629,460,822
298.png,640,916,b_ball,461,533,613,729
298.png,640,916,player,51,182,445,882
299.png,2560,1706,face,739,253,1089,638
299.png,2560,1706,face,1065,403,1358,708
299.png,2560,1706,referee,1369,136,2186,1706
299.png,2560,1706,referee,988,274,1616,1523
299.png,2560,1706,referee,419,215,1054,1706
300.png,1280,720,face,310,85,493,274
300.png,1280,720,face,539,105,722,294
300.png,1280,720,face,711,26,894,215
300.png,1280,720,referee,180,50,485,704
300.png,1280,720,referee,483,66,788,720
300.png,1280,720,referee,713,18,1018,672
300.png,1280,720,basket,95,28,279,256
301.png,1096,1600,b_ball,419,496,683,722
301.png,1096,1600,face,278,438,402,634
301.png,1096,1600,face,547,758,709,948
301.png,1096,1600,face,871,900,1096,1125
301.png,1096,1600,player,137,224,599,1494
301.png,1096,1600,player,461,700,832,1533
301.png,1096,1600,player,828,875,1096,1600
301.png,1096,1600,player,1,875,267,1600
302.png,768,500,b_ball,297,11,370,78
302.png,768,500,basket,377,1,491,99
302.png,768,500,player,27,356,121,500
302.png,768,500,player,213,56,341,497
302.png,768,500,player,425,197,609,500
303.png,570,356,basket,127,47,173,93
304.png,1280,720,player,231,352,362,709
304.png,1280,720,referee,1044,398,1149,707
304.png,1280,720,b_ball,448,203,487,240
304.png,1280,720,basket,897,141,979,244
305.png,2000,1125,face,874,129,1098,392
305.png,2000,1125,b_ball,1118,664,1413,992
305.png,2000,1125,player,1,2,603,1053
306.png,1200,800,b_ball,312,560,429,691
306.png,1200,800,face,398,1,497,103
306.png,1200,800,face,569,64,691,189
306.png,1200,800,player,558,41,919,781
306.png,1200,800,player,275,1,536,667
307.png,1200,782,b_ball,351,175,547,361
307.png,1200,782,basket,668,260,1021,663
308.png,3072,2048,face,555,248,1117,721
308.png,3072,2048,face,1752,110,2219,652
308.png,3072,2048,player,1563,117,2828,2048
308.png,3072,2048,referee,237,157,1466,2028
309.png,1024,683,face,337,377,369,419
309.png,1024,683,face,571,314,603,356
309.png,1024,683,face,552,131,584,173
309.png,1024,683,face,754,278,786,320
309.png,1024,683,player,265,356,394,657
309.png,1024,683,player,476,100,630,542
309.png,1024,683,player,565,310,666,683
309.png,1024,683,player,718,245,889,674
309.png,1024,683,player,842,418,888,602
310.png,1200,675,face,87,42,200,187
310.png,1200,675,face,553,45,666,190
310.png,1200,675,face,954,117,1067,262
310.png,1200,675,b_ball,438,513,565,656
310.png,1200,675,b_ball,909,1,1059,72
310.png,1200,675,player,7,5,396,668
310.png,1200,675,player,405,12,794,675
310.png,1200,675,player,811,1,1200,663
311.png,1280,923,b_ball,281,379,577,672
311.png,1280,923,face,62,570,222,847
311.png,1280,923,face,608,58,817,353
311.png,1280,923,player,472,42,1213,923
312.png,910,683,player,342,279,401,479
312.png,910,683,player,425,311,484,511
312.png,910,683,player,495,314,554,514
312.png,910,683,player,550,317,609,517
312.png,910,683,b_ball,406,211,437,253
312.png,910,683,basket,560,227,616,287
314.png,700,442,face,89,202,119,223
314.png,700,442,face,457,247,483,268
314.png,700,442,player,85,193,140,375
314.png,700,442,player,380,232,463,434
314.png,700,442,player,453,233,512,391
314.png,700,442,b_ball,232,51,269,105
314.png,700,442,basket,465,86,554,162
315.png,800,533,face,223,97,271,144
315.png,800,533,face,659,110,707,157
315.png,800,533,face,651,311,690,341
315.png,800,533,face,415,404,454,434
315.png,800,533,player,113,127,198,440
315.png,800,533,player,195,65,280,378
315.png,800,533,player,254,199,383,512
315.png,800,533,player,541,343,630,533
315.png,800,533,player,412,343,501,533
315.png,800,533,player,629,310,718,500
315.png,800,533,player,559,84,648,274
315.png,800,533,player,645,83,734,273
315.png,800,533,player,1,272,39,533
315.png,800,533,basket,90,22,168,121
315.png,800,533,b_ball,186,1,242,51
315.png,800,533,b_ball,561,54,609,124
315.png,800,533,basket,491,259,551,332
316.png,2560,1997,face,276,58,711,578
316.png,2560,1997,face,798,137,1135,593
316.png,2560,1997,face,1161,316,1498,772
316.png,2560,1997,face,1518,284,1855,740
316.png,2560,1997,face,1964,532,2317,1027
316.png,2560,1997,player,106,65,713,1935
316.png,2560,1997,player,1043,354,1619,1996
316.png,2560,1997,player,1802,354,2378,1997
317.png,391,280,b_ball,51,161,115,225
317.png,391,280,face,202,78,246,136
317.png,391,280,referee,152,66,298,263
318.png,910,1365,player,201,38,796,1365
318.png,910,1365,face,446,351,642,554
318.png,910,1365,b_ball,357,85,576,329
319.png,1024,685,face,561,147,625,237
319.png,1024,685,face,605,84,669,174
319.png,1024,685,face,960,230,1024,320
319.png,1024,685,b_ball,425,224,508,326
319.png,1024,685,player,322,90,621,601
319.png,1024,685,player,587,46,886,557
319.png,1024,685,player,933,251,1024,598
320.png,500,500,basket,275,19,296,42
321.png,1000,600,face,261,222,370,316
321.png,1000,600,face,113,480,222,574
321.png,1000,600,player,236,165,492,600
321.png,1000,600,b_ball,346,1,530,141
322.png,1486,991,face,602,85,750,308
322.png,1486,991,b_ball,797,245,1017,516
322.png,1486,991,player,305,12,828,991
323.png,3647,2735,face,1507,56,2249,894
323.png,3647,2735,referee,489,97,3142,2735
324.png,4173,2599,face,2445,135,2717,610
324.png,4173,2599,b_ball,2809,1168,3282,1649
324.png,4173,2599,player,343,20,1565,2374
324.png,4173,2599,player,1735,63,2957,2417
325.png,2500,1667,face,1348,101,1675,535
325.png,2500,1667,b_ball,1123,485,1659,1010
325.png,2500,1667,player,827,25,1959,1667
326.png,720,576,b_ball,156,377,280,494
326.png,720,576,player,3,245,387,574
326.png,720,576,player,310,1,688,576
327.png,612,408,player,221,178,283,355
327.png,612,408,player,344,188,406,365
327.png,612,408,player,483,157,567,354
327.png,612,408,player,582,138,612,317
327.png,612,408,player,308,74,371,261
327.png,612,408,b_ball,299,28,327,65
328.png,509,339,b_ball,77,150,230,300
328.png,509,339,basket,235,115,264,148
329.png,509,340,basket,73,52,109,108
329.png,509,340,b_ball,300,35,326,62
329.png,509,340,player,377,105,445,307
330.png,1200,800,face,445,44,569,183
330.png,1200,800,face,711,88,802,217
330.png,1200,800,face,901,165,1025,304
330.png,1200,800,face,1,75,125,214
330.png,1200,800,face,1076,103,1200,242
330.png,1200,800,player,372,36,598,800
330.png,1200,800,player,641,9,867,773
330.png,1200,800,player,874,36,1100,800
330.png,1200,800,player,1012,84,1200,800
330.png,1200,800,player,129,90,311,800
331.png,1024,683,face,285,100,355,173
331.png,1024,683,face,432,119,502,192
331.png,1024,683,face,552,108,622,181
331.png,1024,683,face,705,112,775,185
331.png,1024,683,face,172,190,242,263
331.png,1024,683,player,179,214,268,489
331.png,1024,683,player,258,79,388,556
331.png,1024,683,player,422,88,552,565
331.png,1024,683,player,555,83,685,560
331.png,1024,683,player,708,103,846,556
331.png,1024,683,player,312,392,386,479
331.png,1024,683,basket,388,44,472,108
332.png,700,467,b_ball,233,198,294,242
332.png,700,467,face,402,109,456,183
332.png,700,467,face,447,112,501,186
332.png,700,467,face,597,78,651,152
332.png,700,467,player,296,99,449,437
332.png,700,467,player,437,115,536,454
332.png,700,467,player,557,22,656,361
332.png,700,467,basket,471,50,515,87
333.png,1050,700,face,226,56,344,213
333.png,1050,700,face,460,1,578,157
333.png,1050,700,player,65,78,354,700
333.png,1050,700,player,446,50,735,672
333.png,1050,700,b_ball,777,357,907,502
334.png,1024,640,face,449,69,529,175
334.png,1024,640,face,46,16,124,93
334.png,1024,640,player,3,14,155,488
334.png,1024,640,player,44,102,276,640
334.png,1024,640,player,374,60,662,630
334.png,1024,640,player,896,1,1024,632
335.png,1920,2400,b_ball,74,1579,361,2151
335.png,1920,2400,player,530,433,1381,2079
335.png,1920,2400,face,717,451,1010,861
335.png,1920,2400,player,1428,360,1920,2077
336.png,1195,1525,face,591,404,844,695
336.png,1195,1525,referee,65,147,1024,1525
337.png,620,372,face,116,23,204,138
337.png,620,372,face,306,9,394,124
337.png,620,372,b_ball,134,175,260,297
337.png,620,372,referee,26,22,267,372
337.png,620,372,player,281,18,522,368
338.png,687,1280,b_ball,547,1,687,156
338.png,687,1280,player,8,182,662,1280
339.png,1280,934,face,152,392,257,483
339.png,1280,934,face,316,484,421,575
339.png,1280,934,face,573,211,678,302
339.png,1280,934,face,929,495,1034,586
339.png,1280,934,player,89,348,301,925
339.png,1280,934,player,508,143,720,720
339.png,1280,934,player,664,357,876,934
339.png,1280,934,player,908,460,1106,934
339.png,1280,934,b_ball,530,27,639,107
339.png,1280,934,basket,937,55,1086,276
339.png,1280,934,referee,276,451,448,934
340.png,1600,1600,referee,213,57,1565,1600
340.png,1600,1600,b_ball,1077,812,1499,1312
340.png,1600,1600,face,727,51,1182,625
341.png,594,440,player,104,199,173,413
341.png,594,440,player,188,194,257,408
341.png,594,440,player,276,226,345,440
341.png,594,440,player,470,123,539,337
341.png,594,440,player,199,63,253,227
341.png,594,440,player,115,53,169,217
341.png,594,440,basket,88,40,124,87
341.png,594,440,referee,10,203,91,420
341.png,594,440,referee,405,2,486,219
342.png,1074,601,player,233,352,307,507
342.png,1074,601,player,378,347,452,502
342.png,1074,601,player,450,314,524,469
342.png,1074,601,player,814,273,888,428
342.png,1074,601,player,648,209,722,364
342.png,1074,601,player,775,174,849,329
342.png,1074,601,player,551,210,625,365
342.png,1074,601,player,549,208,623,363
342.png,1074,601,referee,592,381,672,509
342.png,1074,601,referee,409,134,489,262
343.png,1024,768,player,178,323,304,721
343.png,1024,768,player,561,205,713,669
343.png,1024,768,player,370,436,523,768
343.png,1024,768,player,495,349,592,676
343.png,1024,768,b_ball,605,117,677,196
343.png,1024,768,basket,676,203,757,310
344.png,3250,4014,face,1022,624,1431,1206
344.png,3250,4014,face,1448,784,1927,1371
344.png,3250,4014,player,140,115,1574,4014
344.png,3250,4014,player,1225,645,2574,4014
344.png,3250,4014,b_ball,2492,1371,3014,1963
345.png,800,450,basket,208,43,697,450
345.png,800,450,b_ball,419,109,636,335
346.png,784,522,basket,354,199,402,241
347.png,2048,1511,b_ball,289,476,518,778
347.png,2048,1511,face,744,222,915,514
347.png,2048,1511,face,1113,43,1300,325
347.png,2048,1511,player,501,141,1083,1407
347.png,2048,1511,player,1135,75,1717,1341
348.png,872,1200,face,386,10,519,198
348.png,872,1200,face,204,1,865,1186
348.png,872,1200,player,1,1,289,1143
348.png,872,1200,b_ball,532,602,714,836
349.png,1024,716,b_ball,258,68,366,169
349.png,1024,716,face,526,262,617,358
349.png,1024,716,player,229,206,470,716
349.png,1024,716,player,442,206,683,716
349.png,1024,716,player,699,336,939,716
350.png,420,618,face,149,177,202,236
350.png,420,618,face,208,319,289,391
350.png,420,618,b_ball,67,23,130,79
350.png,420,618,player,134,285,289,618
350.png,420,618,player,61,94,216,427
351.png,620,350,face,33,102,98,179
351.png,620,350,face,212,1,277,77
351.png,620,350,face,405,94,454,153
351.png,620,350,face,509,189,541,218
351.png,620,350,face,573,105,606,150
351.png,620,350,player,15,80,124,342
351.png,620,350,player,183,1,308,335
351.png,620,350,player,370,86,457,350
351.png,620,350,player,478,160,571,333
351.png,620,350,player,552,95,620,259
351.png,620,350,b_ball,491,67,529,97
352.png,1280,720,b_ball,30,17,82,69
352.png,1280,720,b_ball,358,250,420,328
352.png,1280,720,b_ball,596,69,663,126
352.png,1280,720,b_ball,920,42,977,98
352.png,1280,720,b_ball,1103,24,1167,80
352.png,1280,720,player,14,6,197,365
352.png,1280,720,player,269,86,492,363
352.png,1280,720,player,565,54,711,369
352.png,1280,720,player,801,36,1013,367
352.png,1280,720,player,1030,7,1258,369
353.png,1974,3144,face,1395,906,1630,1164
353.png,1974,3144,face,724,1001,959,1259
353.png,1974,3144,player,281,1282,943,3141
353.png,1974,3144,player,814,800,1530,2626
353.png,1974,3144,player,812,798,1528,2624
353.png,1974,3144,player,1148,846,1810,2705
353.png,1974,3144,b_ball,847,106,1209,378
354.png,1024,589,b_ball,35,234,165,395
354.png,1024,589,player,203,74,545,589
354.png,1024,589,player,547,11,876,585
355.png,500,500,b_ball,177,100,487,434
356.png,2500,2500,b_ball,148,33,2348,2417
357.png,612,379,b_ball,346,95,362,118
357.png,612,379,player,346,131,424,284
357.png,612,379,basket,301,91,338,137
357.png,612,379,basket,122,198,151,224
358.png,868,507,face,99,122,198,227
358.png,868,507,face,224,70,306,178
358.png,868,507,face,551,8,630,102
358.png,868,507,face,557,105,617,180
358.png,868,507,player,37,117,229,503
358.png,868,507,player,200,92,368,487
358.png,868,507,player,548,17,809,502
359.png,600,793,b_ball,52,59,133,140
359.png,600,793,face,239,142,302,201
359.png,600,793,face,366,219,412,273
359.png,600,793,face,496,243,520,276
359.png,600,793,face,558,275,582,308
359.png,600,793,basket,474,4,584,128
359.png,600,793,player,67,85,336,680
359.png,600,793,player,339,113,552,718
359.png,600,793,player,492,237,543,394
360.png,1407,2000,face,396,200,611,443
360.png,1407,2000,b_ball,724,634,1026,887
360.png,1407,2000,player,265,117,1267,1926
361.png,780,520,player,211,227,251,349
361.png,780,520,player,263,294,303,416
361.png,780,520,player,293,160,333,282
361.png,780,520,player,351,172,391,294
361.png,780,520,player,400,363,461,513
361.png,780,520,player,447,265,488,419
361.png,780,520,player,494,260,535,414
361.png,780,520,referee,224,378,275,520
361.png,780,520,referee,486,192,528,280
361.png,780,520,basket,455,168,491,211
362.png,800,533,b_ball,383,17,464,100
362.png,800,533,face,313,127,387,193
362.png,800,533,player,304,79,486,509
363.png,1200,800,face,310,161,430,340
363.png,1200,800,face,808,136,928,315
363.png,1200,800,b_ball,657,385,837,614
363.png,1200,800,player,105,49,534,792
363.png,1200,800,player,628,81,1046,800
364.png,1200,900,b_ball,556,7,741,192
365.png,1040,572,face,507,38,589,164
365.png,1040,572,face,142,156,213,250
365.png,1040,572,face,80,127,138,232
365.png,1040,572,face,763,101,862,232
365.png,1040,572,player,16,98,233,572
365.png,1040,572,player,407,31,687,572
365.png,1040,572,player,729,74,942,572
365.png,1040,572,player,904,149,1040,572
366.png,1200,800,face,602,28,750,222
366.png,1200,800,referee,509,14,859,800
367.png,1280,720,b_ball,854,1,1079,179
368.png,1400,1400,face,216,276,387,481
368.png,1400,1400,face,948,68,1107,260
368.png,1400,1400,player,21,104,485,1339
368.png,1400,1400,player,685,43,1342,1394
368.png,1400,1400,b_ball,1307,484,1400,773
369.png,1120,630,b_ball,568,108,642,164
369.png,1120,630,basket,847,122,935,242
369.png,1120,630,player,553,134,782,416
370.png,1200,720,b_ball,316,37,428,140
370.png,1200,720,player,247,46,461,702
371.png,480,360,b_ball,26,13,111,109
371.png,480,360,face,174,149,237,239
371.png,480,360,face,284,10,347,100
371.png,480,360,player,234,1,399,275
371.png,480,360,player,67,132,289,360
372.png,700,350,b_ball,315,12,366,66
372.png,700,350,player,348,84,438,350
372.png,700,350,referee,433,203,462,333
372.png,700,350,b_ball,448,236,459,255
372.png,700,350,basket,235,119,264,165
373.png,992,621,b_ball,629,281,725,417
373.png,992,621,basket,435,231,539,358
374.png,670,912,b_ball,446,364,548,496
374.png,670,912,player,135,125,461,790
375.png,416,540,basket,184,177,229,258
376.png,1280,720,face,431,158,572,356
376.png,1280,720,face,890,186,1031,384
376.png,1280,720,b_ball,780,1,962,143
376.png,1280,720,player,292,159,586,514
376.png,1280,720,player,680,21,1138,500
377.png,1600,900,face,88,254,248,418
377.png,1600,900,face,912,250,998,413
377.png,1600,900,face,794,256,880,419
377.png,1600,900,face,1344,298,1451,450
377.png,1600,900,face,471,306,549,414
377.png,1600,900,face,269,298,347,406
377.png,1600,900,face,267,296,345,404
377.png,1600,900,player,53,219,243,887
377.png,1600,900,player,426,222,616,890
377.png,1600,900,player,863,235,1112,900
377.png,1600,900,player,714,252,892,880
377.png,1600,900,player,1273,261,1509,900
377.png,1600,900,b_ball,819,90,995,252
378.png,500,363,basket,159,85,175,106
378.png,500,363,basket,398,165,424,207
379.png,1280,720,face,397,84,466,199
379.png,1280,720,face,219,44,288,159
379.png,1280,720,face,939,153,1008,268
379.png,1280,720,face,1096,9,1165,124
379.png,1280,720,player,59,19,341,674
379.png,1280,720,player,355,18,637,673
379.png,1280,720,player,789,53,1071,708
379.png,1280,720,player,1095,3,1280,700
379.png,1280,720,b_ball,445,509,534,621
379.png,1280,720,b_ball,660,338,785,457
380.png,1280,720,face,344,21,509,238
380.png,1280,720,face,573,49,738,266
380.png,1280,720,face,868,44,1033,261
380.png,1280,720,b_ball,2,37,187,271
380.png,1280,720,b_ball,1095,5,1280,239
380.png,1280,720,player,145,3,538,575
380.png,1280,720,player,457,25,850,597
380.png,1280,720,player,819,1,1212,572
381.png,1200,1200,player,78,479,456,1200
381.png,1200,1200,player,549,54,1056,1108
381.png,1200,1200,face,874,260,956,413
381.png,1200,1200,b_ball,901,39,1081,236
382.png,3000,2000,basket,729,169,1409,943
382.png,3000,2000,b_ball,1768,521,2122,847
382.png,3000,2000,face,1946,1015,2237,1302
382.png,3000,2000,player,1589,441,2513,2000
383.png,2600,1735,basket,1317,396,1522,574
383.png,2600,1735,player,1645,735,1932,1257
384.png,1600,1200,basket,26,656,109,748
384.png,1600,1200,basket,770,443,886,590
385.png,1000,600,basket,407,310,584,539
385.png,1000,600,b_ball,786,242,883,345
386.png,800,533,basket,599,93,640,136
386.png,800,533,basket,190,256,203,270
387.png,600,425,basket,286,122,319,171
388.png,594,389,face,97,164,151,223
388.png,594,389,face,253,144,307,203
388.png,594,389,player,84,136,194,388
388.png,594,389,player,230,137,340,389
388.png,594,389,player,413,18,576,389
389.png,900,675,b_ball,288,363,407,479
389.png,900,675,basket,177,132,375,372
390.png,728,546,face,332,2,402,99
390.png,728,546,referee,229,7,480,546
391.png,694,315,face,72,65,99,101
391.png,694,315,face,154,72,181,108
391.png,694,315,face,229,72,267,123
391.png,694,315,face,328,35,372,83
391.png,694,315,face,418,125,462,173
391.png,694,315,face,391,73,435,121
391.png,694,315,face,466,62,510,110
391.png,694,315,face,528,76,552,117
391.png,694,315,face,569,72,593,113
391.png,694,315,face,630,62,654,103
391.png,694,315,face,628,131,652,172
391.png,694,315,face,528,173,552,214
391.png,694,315,face,173,123,211,168
391.png,694,315,face,96,147,134,192
391.png,694,315,face,29,125,67,170
391.png,694,315,face,1,56,37,101
391.png,694,315,b_ball,173,21,234,81
391.png,694,315,b_ball,254,14,315,74
391.png,694,315,b_ball,376,24,434,70
391.png,694,315,b_ball,507,21,565,67
391.png,694,315,b_ball,616,21,665,60
391.png,694,315,player,173,132,254,314
391.png,694,315,player,382,114,463,296
391.png,694,315,player,498,169,585,315
391.png,694,315,player,461,50,516,197
391.png,694,315,player,61,25,116,172
391.png,694,315,player,83,148,160,293
391.png,694,315,player,21,123,82,275
391.png,694,315,player,510,35,571,187
391.png,694,315,player,582,107,681,258
392.png,1060,650,player,49,248,188,603
392.png,1060,650,player,193,236,332,591
392.png,1060,650,player,405,184,544,539
392.png,1060,650,player,612,288,702,485
392.png,1060,650,player,835,256,914,465
392.png,1060,650,player,896,225,1002,532
392.png,1060,650,face,509,202,539,238
392.png,1060,650,face,256,250,286,286
392.png,1060,650,face,143,261,176,302
392.png,1060,650,basket,688,260,713,283
392.png,1060,650,basket,248,54,357,142
392.png,1060,650,referee,36,281,87,414
393.png,1800,1799,face,657,199,882,493
393.png,1800,1799,face,799,460,989,697
393.png,1800,1799,face,1189,674,1437,962
393.png,1800,1799,face,1122,414,1291,657
393.png,1800,1799,player,459,647,980,1799
394.png,2000,1333,b_ball,831,847,1089,1119
394.png,2000,1333,basket,375,29,546,235
394.png,2000,1333,face,618,316,758,452
394.png,2000,1333,face,939,129,1218,412
394.png,2000,1333,player,458,279,793,1317
394.png,2000,1333,player,918,106,1815,1305
395.png,712,534,b_ball,42,41,144,136
395.png,712,534,basket,191,1,300,73
395.png,712,534,face,437,176,526,291
395.png,712,534,face,279,272,370,344
395.png,712,534,player,208,264,431,534
395.png,712,534,player,387,170,594,534
396.png,1280,800,face,158,120,227,205
396.png,1280,800,face,324,104,393,189
396.png,1280,800,face,496,106,565,191
396.png,1280,800,face,665,102,734,187
396.png,1280,800,face,800,130,869,215
396.png,1280,800,face,953,126,1022,211
396.png,1280,800,face,1101,98,1170,183
396.png,1280,800,face,107,322,176,407
396.png,1280,800,face,238,289,307,374
396.png,1280,800,face,386,292,455,377
396.png,1280,800,face,533,291,602,376
396.png,1280,800,face,687,276,756,361
396.png,1280,800,face,849,284,918,369
396.png,1280,800,face,1010,274,1079,359
396.png,1280,800,player,49,308,207,717
396.png,1280,800,player,188,290,346,699
396.png,1280,800,player,346,289,504,698
396.png,1280,800,player,491,289,649,698
396.png,1280,800,player,642,272,800,681
396.png,1280,800,player,810,282,968,691
396.png,1280,800,player,971,280,1129,689
396.png,1280,800,player,1074,88,1236,715
396.png,1280,800,player,118,108,241,362
396.png,1280,800,player,275,83,427,386
396.png,1280,800,player,454,96,623,392
396.png,1280,800,player,613,92,782,388
396.png,1280,800,player,915,119,1068,363
396.png,1280,800,player,774,123,914,381
396.png,1280,800,basket,581,1,656,49
396.png,1280,800,b_ball,524,408,614,496
397.png,910,1365,b_ball,398,555,785,948
397.png,910,1365,player,55,314,701,1365
398.png,1280,720,face,357,61,456,173
398.png,1280,720,face,588,130,658,191
398.png,1280,720,face,737,188,785,235
398.png,1280,720,face,866,218,910,265
398.png,1280,720,b_ball,206,356,310,468
398.png,1280,720,b_ball,551,339,619,409
398.png,1280,720,b_ball,705,287,747,342
398.png,1280,720,b_ball,812,309,862,354
398.png,1280,720,b_ball,33,289,70,314
398.png,1280,720,b_ball,84,289,112,314
398.png,1280,720,b_ball,104,284,127,315
398.png,1280,720,player,205,46,495,538
398.png,1280,720,player,524,114,696,444
398.png,1280,720,player,673,159,814,398
398.png,1280,720,player,799,196,911,384
399.png,390,280,face,70,41,96,65
399.png,390,280,b_ball,45,56,71,76
399.png,390,280,player,62,37,127,176
399.png,390,280,player,106,68,195,244
400.png,600,450,b_ball,240,101,264,119
400.png,600,450,player,199,158,238,252
400.png,600,450,face,212,165,227,183
400.png,600,450,player,107,237,174,408
400.png,600,450,player,218,255,301,420
400.png,600,450,player,366,185,437,351
400.png,600,450,player,531,242,596,408
400.png,600,450,face,266,169,291,190
400.png,600,450,face,147,127,163,149
400.png,600,450,referee,136,123,180,244
400.png,600,450,face,339,195,360,216
400.png,600,450,player,330,195,376,335
400.png,600,450,referee,192,237,240,363
400.png,600,450,referee,407,397,478,450
400.png,600,450,face,381,189,402,213
401.png,509,339,basket,211,50,239,88
401.png,509,339,face,206,156,223,174
401.png,509,339,face,311,108,334,127
401.png,509,339,face,372,160,385,174
401.png,509,339,player,189,154,239,267
401.png,509,339,player,363,161,397,254
401.png,509,339,player,296,97,348,251
401.png,509,339,player,253,77,290,235
